MATHEMATICAL PATTERN COLLECTION - MARKET DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
LIQUIDATIONS
================================================================================

COIN|EXCHANGE|CONTRACT|SIDE|TIME|AMOUNT|PRICE|TURNOVER
BTC|SPOT|5m|2025-07-04_00:35:00|1120232.61|-2859836.77|-18104737.78|106574542.39
BTC|SPOT|5m|2025-07-04_00:40:00|-537055.85|-2913667.01|-18556887.74|106574542.39
BTC|SPOT|5m|2025-07-04_00:45:00|815238.46|-1377572.11|-18071080.38|96445169.29
BTC|SPOT|5m|2025-07-04_00:50:00|93895.41|-1219712.66|-17074548.29|96445169.29
BTC|SPOT|5m|2025-07-04_00:55:00|-1439761.36|-2820015.47|-19333707.22|96445169.29
BTC|SPOT|5m|2025-07-04_01:00:00|-2081229.46|-4555605.53|-22950701.07|95893961.24
BTC|SPOT|5m|2025-07-04_01:05:00|510486.42|-6883663.25|-29403525.76|95893961.24
BTC|SPOT|5m|2025-07-04_01:10:00|-2214028.99|-9093638.28|-28758038.62|95893961.24
BTC|SPOT|5m|2025-07-04_01:15:00|5813.09|-6727616.74|-28458158.66|96368850.4
BTC|SPOT|5m|2025-07-04_01:20:00|919232.15|-5207833.61|-26341837.27|96368850.4
BTC|SPOT|5m|2025-07-04_01:25:00|2007948.47|-917423.58|-25248898.16|96368850.4
BTC|SPOT|5m|2025-07-04_01:30:00|431326.32|-367902.73|-24316758.57|91390567.61
BTC|SPOT|5m|2025-07-04_01:35:00|-438563.26|-1926698.6|-23744344.13|91390567.61
BTC|SPOT|5m|2025-07-04_01:40:00|-3756450.22|-5146092.97|-26149576.19|91390567.61
BTC|SPOT|5m|2025-07-04_01:45:00|-177193.97|-6138525.4|-26645541.5|86681845.13
BTC|SPOT|5m|2025-07-04_01:50:00|-232026.51|-6464447.32|-25001632.06|86681845.13
BTC|SPOT|5m|2025-07-04_01:55:00|-452138.28|-5476824.24|-25541258.17|86681845.13
BTC|SPOT|5m|2025-07-04_02:00:00|-716939.34|-4112534.12|-27961488.88|87920903.74
BTC|SPOT|5m|2025-07-04_02:05:00|-940364.59|-5563385.13|-29482742.94|87920903.74
BTC|SPOT|5m|2025-07-04_02:10:00|1267832.38|-2081523.76|-28618646.18|87920903.74
BTC|SPOT|5m|2025-07-04_02:15:00|-1197015.2|-3284352.05|-28681149.16|93378425.98
BTC|SPOT|5m|2025-07-04_02:20:00|-3805524.08|-8009108.28|-32051479.11|93378425.98
BTC|SPOT|5m|2025-07-04_02:25:00|-715681.38|-10732738.13|-31600336.13|93378425.98
BTC|SPOT|5m|2025-07-04_02:30:00|-523477.19|-11687541.64|-32097184.77|99199056.25
BTC|SPOT|5m|2025-07-04_02:35:00|-7834881.01|-19083859.39|-42257379.47|99199056.25
BTC|SPOT|5m|2025-07-04_02:40:00|-1283889.28|-16611298.45|-43444171.64|99199056.25
BTC|SPOT|5m|2025-07-04_02:45:00|-819399.79|-17253504.27|-41467120.4|89658833.29
BTC|SPOT|5m|2025-07-04_02:50:00|2629261.31|-14392216.45|-38569547.21|89658833.29
BTC|SPOT|5m|2025-07-04_02:55:00|-2129956.46|-16070034.63|-40182005.45|89658833.29
BTC|SPOT|5m|2025-07-04_03:00:00|-236059.03|-15589154.32|-39928433.83|91125253.95
BTC|SPOT|5m|2025-07-04_03:05:00|-1601987.84|-16250777.57|-43377154.39|91125253.95
BTC|SPOT|5m|2025-07-04_03:10:00|-3787398.2|-21306008.15|-46176527.06|91125253.95
BTC|SPOT|5m|2025-07-04_03:15:00|895147.65|-19213845.3|-41876269.67|89054112.14
BTC|SPOT|5m|2025-07-04_03:20:00|412549.68|-14995771.54|-40396313.44|89054112.14
BTC|SPOT|5m|2025-07-04_03:25:00|555193.61|-13724896.55|-29261886.04|89054112.14
BTC|SPOT|5m|2025-07-04_03:30:00|2663195.98|-10538223.38|-26871046.53|92391861.92
BTC|SPOT|5m|2025-07-04_03:35:00|-172091.3|-2875433.67|-26745828.43|92391861.92
BTC|SPOT|5m|2025-07-04_03:40:00|-602087.61|-2193632.0|-26864690.43|92391861.92
BTC|SPOT|5m|2025-07-04_03:45:00|1358948.03|1092340.29|-23677261.49|90241803.64
BTC|SPOT|5m|2025-07-04_03:50:00|-834306.04|-2371227.06|-24447603.49|90241803.64
BTC|SPOT|5m|2025-07-04_03:55:00|198846.49|-42424.11|-24409298.45|90241803.64
